employee_id,first_name,last_name,email,gender,department,job_title,hire_date,exit_date,is_active,salary,currency,country,state,city,manager_id,performance_score
1001, Ken,Naidoo,ken.naidoo@example.com,Male,HR,Sales Rep,29/05/2017,,True,"55,286.31",GBP,south-africa,Western Cape,,,
1002,Sam,Smith,sam.smith@mail.com,M,H.R.,Sales Rep,04-27-2016,,True,29408.75,GBP,south-africa,,Johannesburg,1001,C
1003, Oscar ,Mthembu ,oscar.mthembu@mail.com,Male,Ops,Engineer,12-02-2015,,False,"35,393.84",$,SA,KZN,Cape Town,,
1004, Sam ,Brown ,sam.brown@example,M,Sales,Senior Analyst,01-19-2016,,True,39890.2,£,USA,KZN,,1003,C
1005,Faith ,Mthembu,faith.mthembu@mail.com,M,H.R.,Engineer,06-18-2019,2022/01/22,,25532.92,GBP,United Kingdom,,Polokwane,,B
1006,Esi,Dlamini,esi.dlaminimail.com,M,IT,Manager,2017-12-12,,False,35024.79,GBP,South Africa,Limpopo,,1005,D
1007, David,Zuma,david.zuma@example.com,M,Sales,Manager,2016-03-26,2017/02/28,,"34,989.32",R,U.K.,Western Cape,,1003,A
1008, David ,Nguyen ,david.nguyen@example,Other,H.R.,Senior Analyst,11-04-2018,,True,13943.31,£,United States,Gauteng,,1006,
1009, Liam,Naidoo ,liam.naidoo@mail.com,Other,Operations,Engineer,09-07-2017,2020/09/01,,47211.9,$,United Kingdom,Western Cape,,1006,C
1010,Chipo,Nkosi ,chipo.nkosi@mail.com,M,Sales,Analyst,05-17-2020,,True,42205.98,$,SA,Limpopo,,1002,D
1011,Mai,van Wyk,mai.van wykmail.com,F,IT,Accountant,10/05/2022,,False,27494.85,R,South Africa,Gauteng,,,B
1012,Nia,Nguyen,nia.nguyen@company.co.za,F,sales,Engineer,07-30-2021,,True,32941.42,GBP,United States,Limpopo,,,B
1013,Que ,Khan,que.khan@example.com,F,H.R.,Manager,08-02-2016,,False,41063.59,ZAR,United States,Gauteng,Cape Town,1001,D
1014,Rae ,Moyo ,rae.moyo@mail.com,Female,Sales,Sales Rep,12-24-2020,2023/12/30,,31863.72,R,USA,Western Cape,Polokwane,1008,D
1015, Chipo,Nkosi,chipo.nkosi@company.co.za,Other,H.R.,Accountant,2017-06-18,,TRUE,32087.01,$,United States,Limpopo,Durban,1006,A
1016, Ken ,Khan,ken.khan@example,Other,IT,Data Scientist,2020-09-29,,TRUE,17561.1,ZAR,SA,KZN,,1007,D
1017, Esi ,Khan,esi.khancompany.co.za,Other,Ops,Manager,2019-10-09,2020/05/07,,"41,654.96",ZAR,USA,Gauteng,Durban,,
1018,Esi,Moyo,esi.moyocompany.co.za,Female,Finance,Data Scientist,01-19-2022,,TRUE,36486.57,ZAR,South Africa,Gauteng,,1007,D
1019, David ,Govender ,david.govender@company.co.za,Male,Finance,Clerk,03-24-2017,,False,38293.52,ZAR,south-africa,,,,A
1020, Vin ,Nguyen,vin.nguyencompany.co.za,Female,H.R.,Manager,2018-01-06,,False,16681.71,USD,SA,Gauteng,Durban,1016,B
1021,Que,Brown ,que.brown@example.com,F,IT,Analyst,02/06/2019,,TRUE,54808.4,R,U.K.,KZN,,,B
1022, Bob,Nguyen,bob.nguyen@mail.com,Male,HR,Manager,2022-02-22,,True,36852.03,$,United Kingdom,Gauteng,Polokwane,1017,
1023, Chipo ,van Wyk,chipo.van wyk@company.co.za,Other,Operations,Engineer,08-03-2017,,False,30354.32,ZAR,ZA,Gauteng,Pretoria,1009,
1024,Sam ,Naidoo,sam.naidoo@example,M,Information Technology,Senior Analyst,10-06-2022,,False,"59,348.87",GBP,ZA,KZN,Johannesburg,999999,A
1025, Abel ,Khan ,abel.khan@mail.com,M,Finance,Senior Analyst,09/07/2021,,False,34455.37,GBP,United Kingdom,Gauteng,,1016,D
1026,Alice ,Naidoo ,alice.naidoo@example,F,H.R.,HR Officer,2018-11-09,,False,"17,591.86",R,South Africa,,Durban,1003,A
1027, Liam,Smith ,liam.smithexample.com,M,Information Technology,Data Scientist,2022-02-13,,False,30137.27,ZAR,U.K.,,Pretoria,999999,D
1028,Tari ,Brown ,tari.brown@example.com,M,sales,Manager,11-30-2016,,False,7540.22,£,U.K.,Gauteng,Cape Town,1003,
1029, Henry ,Zuma ,henry.zuma@mail.com,Male,Finance,Senior Analyst,2016-12-16,2018/06/28,,380742.08,$,U.K.,,Pretoria,1009,D
1030, Isaac,Mthembu,isaac.mthembu@example.com,M,Finance,HR Officer,06-26-2019,,True,30002.31,$,USA,Gauteng,Johannesburg,1027,D
1031,Henry,Brown,henry.brown@mail.com,Male,Information Technology,Senior Analyst,11-11-2022,,True,-26089.36,ZAR,United Kingdom,Western Cape,,1021,A
1032,Chipo ,Pillay ,chipo.pillay@mail.com,M,HR,Analyst,01-10-2021,,TRUE,47869.64,$,United Kingdom,Gauteng,Johannesburg,1029,A
1033, Isaac ,Nkosi,isaac.nkosiexample,F,Engineering,HR Officer,2019-01-24,,True,15187.09,R,ZA,Limpopo,Cape Town,1019,D
1034,Tari ,Naidoo ,tari.naidoo@example.com,F,H.R.,HR Officer,08-11-2015,2015/12/25,,41425.15,USD,south-africa,Gauteng,Cape Town,1012,D
